line_no	act	measure	matched	text
9	1	5	1	Langsam, Wozzeck, langsam! Eins nach dem Andern!
11	1	8	1	Er macht mir ganz schwindlich.
13	1	11	1	Was soll ich denn mit den zehn Minuten anfangen, die Er heut' zu früh fertig wird?
15	1	15	1	Wozzeck, bedenk' Er, Er hat noch seine schönen dreissig Jahr' zu leben! Dreissig Jahre: macht dreihundert und sechzig Monate und erst wieviel Tage, Stunden, Minuten! Was will Er denn mit der ungeheuren Zeit all' anfangen?
17	1	24	1	Teil' Er sich ein, Wozzeck!
20	1	25	1	Jawohl, Herr Hauptmann!
24	1	28	1	Es wird mir ganz angst um die Weit, wenn ich an die Ewigkeit denk'. »Ewig«, das ist ewig! Das sieht Er ein. Nun ist es aber wieder nicht ewig, sondern ein Augenblick, ja, ein Augenblick! - Wozzeck, es schaudert mich, wenn ich denke, dass sich die Welt in einem Tag herumdreht: drum kann ich auch kein Mühlrad mehr sehn, oder ich werde melancholisch!
27	1	48	1	Jawohl, Herr Hauptmann!
30	1	51	1	Wozzeck, Er sieht immer so verhetzt aus! Ein guter Mensch tut das nicht. Ein guter Mensch, der sein gutes Gewissen hat, tut alles langsam ... Red' Er doch was, Wozzeck. Was ist heut für ein Wetter?
33	1	67	1	Sehr schlimm, Herr Hauptmann! Wind!
36	1	73	1	Ich spür's schon, 's ist so was Geschwindes draussen; so ein Wind macht mir den Effekt, wie eine Maus.
38	1	83	1	Ich glaub', wir haben so was aus Süd-Nord?
41	1	88	1	Jawohl, Herr Hauptmann!
45	1	91	1	Süd-Nord!
47	1	93	1	Oh, Er ist dumm, ganz abscheulich dumm!
49	1	99	1	Wozzeck, Er ist ein guter Mensch,
51	1	114	1	aber ... Er hat keine Moral!
53	1	115	1	Moral: das ist, wenn man moralisch ist! Versteht Er? Es ist ein gutes Wort.
55	1	120	1	Er hat ein Kind ohne den Segen der Kirche ...
58	1	123	1	Jawo ...
62	1	123	1	… wie unser hochwürdiger Herr Garnisonsprediger sagt: »Ohne den Segen der Kirche« - das Wort ist nicht von mir.
65	1	127	1	Herr Hauptmann, der liebe Gott wird den armen Wurm nicht d'rum ansehn, ob das Amen darüber gesagt ist, eh' er gemacht wurde. Der Herr sprach: »Lasset die Kleinen zu mir kommen!«
69	1	132	1	Was sagt Er da?! Was ist das für eine kuriose Antwort? Er macht mich ganz konfusl Wenn ich sage: »Er«, so mein' ich »Ihn«, »Ihn« …
72	1	136	1	Wir arme Leut! Sehn Sie, Herr Hauptmann, Geld, Geld! Wer kein Geld hat! Da setz' einmal einer Seinesgleichen auf die moralische Art in die Welt! Man hat auch sein Fleisch und Blut! Ja, wenn ich ein Herr wär', und hätt' einen Hut und eine Uhr und ein Augenglas und könnt' vornehm reden, ich wollte schon tugendhaft sein! Es muss was Schönes sein um die Tugend, Herr Hauptmann. Aber ich bin ein armer Kerl! Unsereins ist doch einmal unselig in dieser und der andern Welt! Ich glaub', wenn wir in den Himmel kämen, so müssten wir donnern helfen!
76	1	153	1	Schon gut, schon gut!
78	1	153	1	Ich weiss: Er ist ein guter Mensch,
80	1	153	1	ein guter Mensch.
82	1	157	1	Aber Er denkt zu viel, das zehrt. Er sieht immer so verhetzt aus.
84	1	162	1	Der Diskurs hat mich angegriffen. Geh' Er jetzt, und renn' Er nicht so! Geh' Er langsam die Strasse hinunter, genau in der Mitte, und nochmals, geh' Er langsam, hübsch langsam!
95	1	206	1	Du, der Platz ist verflucht!
98	1	209	1	Ach was
100	1	212	1	Das ist die schöne Jägerei,
101	1	215	1	Schiessen steht Jedem frei!
102	1	217	1	Da möcht ich Jäger sein,
103	1	220	1	Da möcht ich hin.
106	1	224	1	Der Platz ist verflucht! Siehst Du den lichten Streif da über das Gras hin, wo die Schwämme so nachwachsen? Da rollt Abends ein Kopf. Hob ihn einmal Einer auf, meint', es wär' ein Igel. Drei Tage und drei Nächte drauf, und er lag auf den Hobelspänen.
109	1	243	1	Es wird finster, das macht Dir angst. Ei was!
111	1	249	1	Läuft dort ein Has vorbei,
112	1	251	1	Fragt mich, ob ich Jäger sei?
113	1	253	1	Jäger bin ich auch schon gewesen,
114	1	255	1	Schiessen kann ich aber nit!
117	1	257	1	Still, Andres! Das waren die Freimaurer! Ich hab's! Die Freimaurer! Still! Still!
120	1	262	1	Sassen dort zwei Hasen,
121	1	262	1	Frassen ab das grüne Gras.
123	1	263	1	Sing lieber mit!
124	1	264	1	Frassen ab das grüne Gras
125	1	265	1	Bis auf den Rasen…
129	1	266	1	Hohl! Alles hohl! Ein Schlund! Es schwankt!
