start	end	text
0	29980	Vielen Dank.
30000	35500	Langsam, eins nach dem anderen.
37060	38440	Er machte ganz schwindelig.
43440	50400	Was soll ich denn mit den zehn Minuten anfangen, die heute so früh fertig wird?
51120	56640	Watzik, bedenkt er, er hat doch seine schöne 30 Jahre zu leben.
56640	64860	30 Jahre macht 360 Monate und erst viele Tage, Stunden, Minuten.
65440	70560	Was will er denn mit der ungeheuren Zeit all anfangen?
73020	76420	Halt er sich ein, Watzik.
76760	79140	Jawohl, Herr Hauptmann.
86640	99780	Es wird mir ganz Angst um die Welt, wenn ich an die Ewigkeit denk.
101360	106580	Ewig, das ist ewig, das sieht er ein.
106580	115100	Nun ist es aber wieder nicht ewig, sondern ein Augenblick.
115700	119640	Tja, ein Augenblick.
120800	129060	Watzik, es schaudert mich, wenn ich denke, dass sich die Welt in einem Park herumdreht.
129060	137420	Und kann ich auch kein Myrrat mehr sehen.
138780	143060	Mutter, ich werde melancholisch.
143920	146560	Jawohl, Herr Hauptmann.
146560	157960	Watzik, er sieht immer so verhetzt aus.
157960	162460	Ein guter Mensch tut das nicht.
163360	176520	Ein guter Mensch, der sein gutes Gewissen hat, tut alles langsam.
176520	176960	Fl requisigt.
189100	190240	Halt er sich dann noch von mir.
190240	192120	W o HR-ベ paratern aus.
192180	194360	Würd wie bei bei der wand solamente, um das w freighter Compte für weiss ist.
196880	197620	Anfakt-Filfe.
198300	198740	Böschung.
198740	198900	Was hat masturbiert aus.
198900	199460	Böschung.
199560	200120	Böschung.
200120	202160	Würd wie bei der Dritte in Rceğiz?
204360	204860	Böschung.
204860	205220	Böschung.
205220	208700	Was ist halt für ein Wetter?
209200	211660	Sehr schlimm, Herr Hauptmann.
214240	215040	Wind!
215780	218740	Ich spür schon, siehst du was Geschwindes draußen?
219860	224560	So ein Wind macht mir den Effekt wie eine Maus.
228320	233480	Ich glaub, wir haben sowas aus dieser Nacht.
233480	236140	Na wohl, Herr Hauptmann.
236800	239720	Ha, ha, ha, ha, Tiedler.
240860	244560	Ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha, ha.
244560	247800	Oh, er ist um ganz abschuldig.
263480	268000	Wozzecki, er ist ein guter Mensch.
268000	284000	Aber er hat keine Moral, Moral, dass es denn normalisch ist.
285260	286200	Versteht er?
286200	296200	Er hat ein Kind ohne den Segen der Kirche.
296780	297540	Jawohl!
297540	308740	Wie unser würdiger Herr Garnisons lediger sagt, ohne den Segen der Kirche, das Wort ist nicht von dir.
308740	324000	Herr Hauptmann, der liebe Gott, mit den Armen worf nicht drum ansehen, ob das Armen darüber gesagt ist, wie er gemacht wurde.
324000	332500	Der Herr sprach, lasse die Kleinen zu mir kommen.
333120	334460	Was sagt er da?
334920	338000	Was ist das für eine kuriose Antwort?
338000	349340	Er macht mich ganz konfuss, denn ich sage ihr, so meine ich ihn, ihn.
350560	366540	Wir arme Leute sind sie, Herr Hauptmann, Geld, Geld, wer kein Geld macht.
368000	384020	Das ist einmal einer seinesgleichen, auch die moralische Art in die Welt.
385140	390660	Man hat auch sein Fleisch und Blut.
390660	407660	Ja, wenn ich ein Herr wär' und hätt' einen Hut und eine Uhr und ein Augenglas und kein Vornehmreden,
408660	413040	ich wollte schon kugendhaft sein.
413040	430040	Es muss was Schönes sein, um die Bugend, Herr Hauptmann,
430040	438040	aber ich bin ein armer Kerl.
442040	455520	Unser Eins ist doch einmal unseelig in dieser und der anderen Welt.
455520	469100	Ich glaub', wenn wir in den Himmel kämen, so müssen wir da noch helfen.
469100	489100	Ich weiß, er ist ein guter Mensch, ein guter Mensch, aber er denkt so viel, dass er...
489100	492900	Er sieht immer so verhetzt aus.
496100	500340	Der Diskurs hat mich angegriffen.
502100	504480	Gehe jetzt und renne nicht zu.
505380	509580	Gehe langsam die Straße hinunter, genau in der Mitte.
510120	515100	Und nochmals gehe langsam hübsch las.
515100	517100	Gehe langsam hi kilograms.
517100	547080	Vielen Dank.
547100	577080	Vielen Dank.
577100	607080	Vielen Dank.
607100	637080	Vielen Dank.
637100	641100	Der Platz ist verflucht.
641100	665220	Siehst du den lichten Streif da, über das Gras hin, wo die Schwämme so nachwachst?
665220	686260	Da rollt abends ein Kopf.
686260	714260	Und er lag auf den Hobelspänen.
714260	720260	Es wird finster.
720260	721260	Siehst du?
721260	724260	Das macht dir Angst.
724260	726260	Hey, was?
726260	728260	Läuft dort einer vorbei?
728260	729260	Läuft dort einer vorbei?
729260	741260	Läuft dort einer vorbei?
741260	747260	Schreibt mich, ob ich Jäger sei?
747260	752260	Jäger bin ich auch schon gewesen.
752260	760260	Schießen, schießen, schießen kann ich's happen mit.
760260	765260	Ihr Andres, das waren die Freiborfer.
765260	766260	Die Freiborfer.
766260	767260	Das war's.
767260	769260	Ich war's.
769260	770260	Die Freiborfer.
770260	771260	Stil.
771260	772260	Stil.
772260	773260	Stille!
773260	774260	Stille!
774260	775260	Stille!
775260	776260	Stille!
776260	777260	Sing lieber mit!
777260	781260	Las'n ab der grüne Gras
781260	783260	Bitt!
783260	784260	Hol!
784260	786260	Alles hoch!
786260	788260	Eich Land!
788260	789260	Eich Land!
789260	790260	Eich Land!
790260	793260	Eich Land!
802260	826260	Hörst du, es wandelt was mit uns verrunden?
826260	831260	Fortfahrt!
831260	836260	Eich, bist du toll?
836260	838260	Eich, bist du toll?!
838260	850260	Sie ist kurios, stil und schwül
850260	858260	Man möchte den Atem anhalten
858260	862220	Was?
866280	869220	Ein Feuer.
873220	884220	Ein Feuer, das herrt von der Erde in den Himmel.
884220	895220	Und ein Getöse runter, wie Posaunen, wie Scherentlerd.
900680	906300	Die Sonne ist unter, drinnen trommeln sie.
906300	918340	Viel, alles still, als wäre die Welt rot.
920620	924300	Nacht, wir müssen heim.
924300	925300	Heim.
925300	926300	Heim.
926300	927300	Heim.
927300	929300	Heim.
929300	932300	�
959300	989280	Vielen Dank.
989300	1019280	Vielen Dank.
1019300	1021300	Bumm, bumm, bumm.
1023880	1026200	Hörst du, da kommen sie.
1030560	1035180	Was ein Mann, wie ein Baum.
1035180	1043180	Er steht auf seinen Füßen wie ein Löw.
1045320	1048440	Ei, was freundliche Augen, Frau Nachbarin.
1048920	1051460	So was ist man bei ihr nicht gewohnt.
1051460	1066220	Soldaten, Soldaten, sind schöne Bursche.
1066220	1069420	Ihre Augen glänzen ja.
1069760	1072420	Und wenn, was geht sie es an?
1072780	1075880	Tragen sie ihre Augen zum Juden und lassen sie putzen?
1076240	1080700	Vielleicht glänzen sie auch noch, dass man sie für zwei Knöpfe kaufen könnte.
1080700	1084300	So was sie, sie, Frau Junckzer.
1084780	1086680	Ich bin eine ornette Person.
1087260	1089880	Aber sie, das weiß jeder.
1090180	1092400	Sie guckt sehr verleden aus.
1092400	1106260	Herr, mein Bub,
1106680	1111660	was die Leute wollen,
1111660	1118500	Bist nur ein arm Hurenkind
1118500	1126140	Und machst deiner Mutter doch so viel Freude
1126140	1133720	Mit einem unedischen Gesicht
1133720	1143480	Weier, o Weier
1143480	1154300	Männchen, was fandst du jetzt an?
1154300	1161040	Hast dein Kleinkind und dein Mann
1161040	1167580	Hör das Blaggifte Nacht
1167580	1178420	Sing ich die ganze Nacht
1178420	1190720	Leia Pocoria, mein süße Wund
1190720	1197260	Gibt mir kein Mensch
1197260	1203800	Nix dazu
1203800	1210340	Hand, zerspann dein Essig Schimmel an
1210340	1216880	Gibt sie zu fressen als der Leih
1216880	1223420	Gibt sie zu fressen als der Leih
1223420	1229960	Gibt sie zu fressen als der Leih
1229960	1236500	Gibt sie zu fressen als der Leih
1236500	1247980	Gibt sie zu fressen als der Leih
1247980	1277960	Untertitelung des ZDF, 2020
1277980	1307960	Untertitelung des ZDF, 2020
1307980	1337960	Untertitelung des ZDF, 2020
1337960	1367940	Untertitelung des ZDF, 2020
1367940	1397920	Untertitelung des ZDF, 2020
1397920	1427900	Untertitelung des ZDF, 2020
1427900	1436380	Mein Bub, mein Bub, jetzt muss ich vor.
1436380	1458620	Der Mann so vergeistert, er hat sein Kind nicht angesehen.
1458620	1488600	Untertitelung des ZDF, 2020
1488600	1518580	Untertitelung des ZDF, 2020
1518580	1548560	Untertitelung des ZDF, 2020
1548560	1578540	Untertitelung des ZDF, 2020
1578540	1608520	Untertitelung des ZDF, 2020
1608520	1638500	Untertitelung des ZDF, 2020
1638500	1668480	Untertitelung des ZDF, 2020
1668480	1698460	Untertitelung des ZDF, 2020
1698460	1700460	Untertitelung des ZDF, 2020
1700460	1728440	Untertitelung des ZDF, 2020
1728460	1758440	Untertitelung des ZDF, 2020
1758460	1788440	Untertitelung des ZDF, 2020
1788460	1789460	Untertitelung des ZDF, 2020
1789460	1818440	Untertitelung des ZDF, 2020
1818440	1820440	Untertitelung des ZDF, 2020
1820440	1848420	Untertitelung des ZDF, 2020
1848440	1850440	Untertitelung des ZDF, 2020
1850440	1878420	Untertitelung des ZDF, 2020
1878440	1879440	Untertitelung des ZDF, 2020
1879440	1880440	Untertitelung des ZDF, 2020
1880440	1881440	Untertitelung des ZDF, 2020
1881440	1882480	Untertitelung des ZDF, 2020
1882480	1899480	Die Schwämme haben sie schon die Ringe von den Schwämmen am Boden gesinnt.
1899480	1913480	Linienkreise, Figuren, wer das lesen kann.
1913480	1941380	Verzeckt, wer kommt ins Narrenhaus, wer hat eine schöne, fixe Idee, eine künstliche Apparatio, mentalis, partialis, zweiter Spezies, sehr schön ausgerührt.
1941380	1965160	Verzeckt, wer kriegt noch mehr Zulage, tut er noch alles wie sonst, rasiert seinen Hauptmann, fängt 30 Meusel, ist seine Bohnen immer ordentlich, Herr Doktor.
1965160	1974020	Denn das Männerstel kriegt das Weib, darum puh ich's ja.
